# E(eV),Radius(Rp),Tau
1.999602083405917256e+03,3.599582008073962402e+10,1.536993102860219745e-07
1.999602083405917256e+03,3.642340659184677124e+10,1.443115290367486709e-07
1.999602083405917256e+03,3.685099310295392609e+10,1.344677969229194872e-07
1.999602083405917256e+03,3.727857961406107330e+10,1.242137304237112413e-07
1.999602083405917256e+03,3.770616612516822815e+10,1.174309260328670066e-07
1.999602083405917256e+03,3.813375263627538300e+10,1.080671679083711503e-07
1.999602083405917256e+03,3.856133914738253021e+10,9.918397409356703950e-08
1.999602083405917256e+03,3.898892565848967743e+10,9.075254564649697978e-08
1.999602083405917256e+03,3.941651216959683228e+10,8.274372321190091291e-08
1.999602083405917256e+03,3.984409868070398712e+10,7.514264874989480543e-08
1.999602083405917256e+03,4.027168519181114197e+10,6.795014352994876964e-08
1.999602083405917256e+03,4.069927170291828918e+10,6.109847699435529841e-08
1.999602083405917256e+03,4.112685821402544403e+10,5.149772749584417160e-08
1.999602083405917256e+03,4.155444472513259125e+10,4.400581358042208801e-08
1.999602083405917256e+03,4.198203123623973846e+10,3.451775048153403986e-08
1.999602083405917256e+03,4.240961774734689331e+10,2.244667860291571162e-08
1.995941605209574163e+03,0.000000000000000000e+00,2.606097134018384720e-01
1.995941605209574163e+03,4.275865111071519256e+08,2.606097134018384720e-01
1.995941605209574163e+03,8.551730222143038511e+08,2.606097134018384720e-01
1.995941605209574163e+03,1.282759533321455956e+09,2.606097134018384720e-01
1.995941605209574163e+03,1.710346044428607702e+09,2.606097134018384720e-01
1.995941605209574163e+03,2.137932555535759449e+09,2.606097134018384720e-01
1.995941605209574163e+03,2.565519066642911911e+09,2.606097134018384720e-01
1.995941605209574163e+03,2.993105577750063896e+09,2.606097134018384720e-01
1.995941605209574163e+03,3.420692088857215405e+09,2.606097134018384720e-01
1.995941605209574163e+03,3.848278599964367390e+09,2.606097134018384720e-01
1.995941605209574163e+03,4.275865111071518898e+09,2.606097134018384720e-01
1.995941605209574163e+03,4.703451622178671837e+09,2.606097134018384720e-01
1.995941605209574163e+03,5.131038133285823822e+09,2.606097134018384720e-01
1.995941605209574163e+03,5.558624644392974854e+09,2.606097134018384720e-01
1.995941605209574163e+03,5.986211155500127792e+09,2.606097134018384720e-01
1.995941605209574163e+03,6.413797666607279778e+09,2.606097134018384720e-01
1.995941605209574163e+03,6.841384177714430809e+09,2.606097134018384720e-01
1.995941605209574163e+03,7.268970688821582794e+09,2.606097134018384720e-01
1.995941605209574163e+03,7.696557199928734779e+09,2.606097134018384720e-01
1.995941605209574163e+03,8.124143711035886765e+09,2.606097134018384720e-01
1.995941605209574163e+03,8.551730222143037796e+09,2.606097134018384720e-01
1.995941605209574163e+03,8.630283369881910324e+09,2.606097134018384720e-01
1.995941605209574163e+03,9.057869880989061356e+09,4.070898900554315025e-03
1.995941605209574163e+03,9.485456392096214294e+09,1.007771646202046270e-03
1.995941605209574163e+03,9.913042903203365326e+09,3.018608654432398453e-04
1.995941605209574163e+03,1.034062941431051826e+10,1.439586435642267238e-04
1.995941605209574163e+03,1.076821592541766930e+10,8.664657142268226693e-05
1.995941605209574163e+03,1.119580243652482033e+10,5.649091311374195625e-05
1.995941605209574163e+03,1.162338894763197327e+10,3.923732907547828995e-05
1.995941605209574163e+03,1.205097545873912430e+10,2.875379827227715211e-05
1.995941605209574163e+03,1.247856196984627533e+10,2.201493571437484901e-05
1.995941605209574163e+03,1.290614848095342827e+10,1.741840881038417385e-05
1.995941605209574163e+03,1.333373499206057930e+10,1.416654332398396466e-05
1.995941605209574163e+03,1.376132150316773033e+10,1.179162167233893404e-05
1.995941605209574163e+03,1.418890801427488327e+10,9.999540895947220371e-06
1.995941605209574163e+03,1.461649452538203430e+10,8.598550521204125321e-06
1.995941605209574163e+03,1.504408103648918533e+10,7.479170761651976113e-06
1.995941605209574163e+03,1.547166754759633827e+10,6.563588196901972450e-06
1.995941605209574163e+03,1.589925405870348930e+10,5.807519152140298197e-06
1.995941605209574163e+03,1.632684056981064224e+10,5.170309521776286627e-06
1.995941605209574163e+03,1.675442708091779137e+10,4.626634588939776694e-06
1.995941605209574163e+03,1.718201359202494431e+10,4.159179785184126929e-06
1.995941605209574163e+03,1.760960010313209915e+10,3.749568454138020824e-06
1.995941605209574163e+03,1.803718661423925018e+10,3.394354898344246191e-06
1.995941605209574163e+03,1.846477312534639740e+10,3.081108715564386507e-06
1.995941605209574163e+03,1.889235963645355225e+10,2.804599188258732804e-06
1.995941605209574163e+03,1.931994614756070709e+10,2.555009979433093435e-06
1.995941605209574163e+03,1.974753265866785431e+10,2.335460676122103181e-06
1.995941605209574163e+03,2.017511916977500534e+10,2.139053812743919541e-06
1.995941605209574163e+03,2.060270568088216019e+10,1.959563258113943473e-06
1.995941605209574163e+03,2.103029219198931122e+10,1.799668847542979956e-06
1.995941605209574163e+03,2.145787870309646225e+10,1.656050456238793592e-06
1.995941605209574163e+03,2.188546521420361328e+10,1.526472689976392292e-06
